Instances,feature_direct_distance,feature_median_pivot_off,feature_min_angle,feature_num_r_turns,feature_road_distance,feature_std_pivot_off,feature_total_angle,feature_uturns,algo_safety
181,0.8179578625390734,0.8622116676238871,0.885889281104696,0.6000000000000001,0.6096506023220443,0.1802890864216643,0.3563715155169687,0.0,0
182,0.0,0.8962636542821178,0.7969184635900081,0.8,0.9999999999999998,0.12490078798593646,0.7341098303346355,0.0,1
183,0.3502568840427224,0.6564760563125447,0.7207693609009742,1.0000000000000002,0.6006803938150596,0.895349436298982,0.029786837069874395,0.0,1
184,0.34600258482385765,0.2756603699648216,0.8749133276682373,0.4000000000000001,0.3472855671440682,0.05885428667917242,0.8800898320502143,0.0,0
185,0.3702242264824088,0.0,0.6202508474566606,0.4000000000000001,0.4840974504810889,0.13768063752201132,0.17090896510814385,0.0,0
186,0.3092620067130111,0.36349906007195193,0.7507547823318421,0.2,0.3778056214265215,0.0,0.7155367693495023,0.0,0
187,0.30610174891140635,0.3634071501299648,0.7534290774728107,0.2,0.36221772548849773,0.0015072477217208113,0.7159298569142624,0.0,0
188,0.8179578625390734,0.8622116676238871,0.885889281104696,0.6000000000000001,0.6096506023220443,0.1802890864216643,0.3563715155169687,0.0,0
189,0.0,0.8962636542821178,0.7969184635900081,0.8,0.9999999999999998,0.12490078798593646,0.7341098303346355,0.0,1
190,0.3502568840427224,0.6564760563125447,0.7207693609009742,1.0000000000000002,0.6006803938150596,0.895349436298982,0.029786837069874395,0.0,1
191,0.34600258482385765,0.2756603699648216,0.8749133276682373,0.4000000000000001,0.3472855671440682,0.05885428667917242,0.8800898320502143,0.0,0
192,0.3702242264824088,0.0,0.6202508474566606,0.4000000000000001,0.4840974504810889,0.13768063752201132,0.17090896510814385,0.0,0
193,0.3092620067130111,0.36349906007195193,0.7507547823318421,0.2,0.3778056214265215,0.0,0.7155367693495023,0.0,0
194,0.30610174891140635,0.3634071501299648,0.7534290774728107,0.2,0.36221772548849773,0.0015072477217208113,0.7159298569142624,0.0,0
195,0.8179578625390734,0.8622116676238871,0.885889281104696,0.6000000000000001,0.6096506023220443,0.1802890864216643,0.3563715155169687,0.0,0
196,0.0,0.8962636542821178,0.7969184635900081,0.8,0.9999999999999998,0.12490078798593646,0.7341098303346355,0.0,1
197,0.3502568840427224,0.6564760563125447,0.7207693609009742,1.0000000000000002,0.6006803938150596,0.895349436298982,0.029786837069874395,0.0,1
198,0.34600258482385765,0.2756603699648216,0.8749133276682373,0.4000000000000001,0.3472855671440682,0.05885428667917242,0.8800898320502143,0.0,0
